,Area,Year,Undernourished (mil),Population,Population (mil),Undernourished (%),Inflation (%),Ratio U:I ,Ratio I:U
77,Lao People's Democratic Republic,2019,0.4,7169456.0,7.169456,5.579223863009970,4.665818,1.19576542912946,0.8362844213752
78,Lao People's Democratic Republic,2020,0.4,7275556.0,7.275556,5.497861606728060,8.684701666666670,0.633051291540591,1.579650832978170
79,Lao People's Democratic Republic,2021,0.4,7379358.0,7.379358,5.420525742212260,3.0154299166666700,1.79759632689598,0.556298421974838
80,Malaysia,2002,0.6,24208391.0,24.208391,2.478479466066130,0.7037986666666670,3.52157454035074,0.283963888465755
81,Malaysia,2003,0.7,24698821.0,24.698821,2.834143378746700,1.3400846666666700,2.11489874426842,0.472835875812068
82,Malaysia,2004,0.7,25190647.0,25.190647,2.778809134993640,2.1968986666666700,1.26487815626467,0.790589982953866
83,Malaysia,2005,0.8,25690615.0,25.690615,3.11397761400418,3.6323453333333300,0.857291179180517,1.16646481882142
84,Malaysia,2006,0.8,26201954.0,26.201954,3.0532074058293500,3.370240666666670,0.905931566260851,1.10383613646162
85,Malaysia,2007,0.9,26720367.0,26.720367,3.3682172104896600,3.0210946666666700,1.1148995917450000,0.8969417581675120
86,Malaysia,2008,1.0,27236003.0,27.236003,3.671610698530180,8.832798416666670,0.415679213464466,2.405701241747280
87,Malaysia,2009,1.0,27735038.0,27.735038,3.605547610931700,4.2626152500000000,0.845853402070877,1.1822379593813
88,Malaysia,2010,1.0,28208028.0,28.208028,3.545090071521480,2.409906916666670,1.471048548391640,0.679787217827272
89,Malaysia,2011,1.0,28650962.0,28.650962,3.490284200579370,4.806543083333330,0.726152692291871,1.377120832319460
90,Malaysia,2012,0.9,29068189.0,29.068189,3.0961681169748800,2.694544083333330,1.14905083057491,0.870283518701834
91,Malaysia,2013,0.9,29468923.0,29.468923,3.0540647854690900,3.5604490833333300,0.8577751609383620,1.1658066653574500
92,Malaysia,2014,1.0,29866606.0,29.866606,3.348221086788370,3.3469289166666700,1.00038607635653,0.999614072640902
93,Malaysia,2015,1.1,30270965.0,30.270965,3.6338451714373800,3.6283317500000000,1.0015195472237000,0.9984827582967170
94,Malaysia,2016,1.1,30684652.0,30.684652,3.5848540827512100,3.874704416666670,0.925194207674604,1.08085415116618
95,Malaysia,2017,1.1,31104655.0,31.104655,3.536448161858730,4.174879583333330,0.847077883629673,1.180528991873880
96,Malaysia,2018,1.0,31528033.0,31.528033,3.1717804913487600,1.36267375,2.32761546287126,0.429624229582338
97,Malaysia,2019,0.9,31949789.0,31.949789,2.8169200115844300,1.65120725,1.70597604363985,0.586174702586335
98,Malaysia,2020,0.8,32365998.0,32.365998,2.4717297455187400,1.271185,1.94442960349496,0.514289639595375
99,Malaysia,2021,0.8,32776195.0,32.776195,2.4407958275815700,1.7674883333333300,1.3809402764081800,0.7241442784194790
100,Myanmar,2002,17.7,47702163.0,47.702163,37.10523566824420,57.79434658333330,0.64202189075263,1.55757928881167
101,Myanmar,2003,16.6,48148907.0,48.148907,34.47637970265870,39.64439225,0.869640767482284,1.1499000936848
102,Myanmar,2004,15.6,48564489.0,48.564489,32.12223647612150,5.915971083333330,5.42974872994517,0.184170585000551
103,Myanmar,2005,14.7,48949931.0,48.949931,30.030685845093400,9.564871583333330,3.139685209932300,0.318503268046277
104,Myanmar,2006,13.6,49301049.0,49.301049,27.58561993275230,20.322699,1.35737974236357,0.736713514125921
105,Myanmar,2007,12.1,49621479.0,49.621479,24.384601676221700,35.706907083333300,0.682909937265431,1.464321933876510
106,Myanmar,2008,10.2,49929642.0,49.929642,20.42874651494600,22.780015666666700,0.896783690313206,1.11509610489319
107,Myanmar,2009,8.5,50250366.0,50.250366,16.915299681598300,-0.19114525000000000,-88.4944809332081,-0.0113001397313665
108,Myanmar,2010,6.5,50600827.0,50.600827,12.845639854858500,7.221074583333330,1.778909732425010,0.562142070377457
109,Myanmar,2011,5.2,50990612.0,50.990612,10.19795565505270,4.03628375,2.52657055021285,0.39579342041953
110,Myanmar,2012,4.0,51413703.0,51.413703,7.780027048431040,2.33390525,3.33348024665142,0.299986778384102
111,Myanmar,2013,3.7,51852464.0,51.852464,7.135630044504730,18.921696333333300,0.377113654019185,2.651720480927290
112,Myanmar,2014,3.2,52280816.0,52.280816,6.120791993759240,4.782779166666670,1.279756346773810,0.781398742441042
113,Myanmar,2015,2.7,52680724.0,52.680724,5.1252143003957200,6.613851166666670,0.774921323634621,1.29045358477128
114,Myanmar,2016,2.2,53045199.0,53.045199,4.147406441061710,5.445829083333330,0.761574845188334,1.313068579297290
115,Myanmar,2017,1.9,53382521.0,53.382521,3.5592174449760400,4.483110333333330,0.793916986274494,1.25957753428676
116,Myanmar,2018,1.6,53708318.0,53.708318,2.979054380366190,6.562038083333330,0.453983098320105,2.202725175673600
117,Myanmar,2019,1.4,54045422.0,54.045422,2.5904136709303500,9.024412416666670,0.287045133946479,3.48377269543422
118,Myanmar,2020,1.4,54409794.0,54.409794,2.573066165256940,2.859565083333330,0.899810317398888,1.111345336526850
119,Myanmar,2021,1.7,54806014.0,54.806014,3.1018493700344600,5.5706475,0.556820256538304,1.7959116757298
120,Philippines,2002,14.9,81365260.0,81.36526,18.312483730771600,1.9967001666666700,9.17137386798681,0.109034918256964
121,Philippines,2003,15.0,83051970.0,83.05197,18.06098037168780,0.99821925,18.0931998372981,0.0552693834696149
122,Philippines,2004,14.2,84710544.0,84.710544,16.76296636697320,6.034824583333330,2.77770565415742,0.3600093474639
123,Philippines,2005,13.5,86326251.0,86.326251,15.63834852506220,6.356637833333330,2.46016037645827,0.406477565271429
124,Philippines,2006,12.4,87888675.0,87.888675,14.108757470743500,5.1698045,2.72906982667207,0.366425215737128
